day,mont,year,credited,debited,type,week_day,perc_remain
3,10,2020,3450229.176,1837791.081,N,6,0.467342316
4,10,2020,,,N,7,
5,10,2020,9903733.26,7732235.962,N,1,0.219260479
6,10,2020,8696608.443,6346466.36,N,2,0.270236622
7,10,2020,7893340.131,5762685.305,N,3,0.2699307
8,10,2020,7922614.833,6003867.933,N,4,0.242186064
9,10,2020,12185582,9847214.674,N,5,0.191896237
10,10,2020,,,N,6,
11,10,2020,,,N,7,
12,10,2020,9672517.524,7306320.383,N,1,0.244630949
13,10,2020,9701113.914,7585714.629,N,2,0.21805736
14,10,2020,8619856.16,6650619.693,N,3,0.228453518
15,10,2020,10881340.43,8713456.467,P,4,0.199229495
16,10,2020,9157812.067,7162670.607,N,5,0.217862241
17,10,2020,2763926.355,1369398.985,N,6,0.504545777
18,10,2020,,,N,7,
19,10,2020,9414170.329,7293278.09,N,1,0.225287217
20,10,2020,7868498.371,5708690.014,N,2,0.274487997
21,10,2020,7220659.695,5316050.819,N,3,0.263772142
22,10,2020,7888524.445,5470415.338,N,4,0.306535034
23,10,2020,9604809.524,7203011.238,N,5,0.250062042
24,10,2020,,,N,6,
25,10,2020,,,N,7,
26,10,2020,8381837.629,6280959.538,N,1,0.250646479
27,10,2020,8630007.143,6478788.6,N,2,0.249271931
28,10,2020,10099296.18,7877642.831,N,3,0.219981007
29,10,2020,14184768.56,10054765.63,N,4,0.291157583
30,10,2020,,,N,5,
31,10,2020,5005083.586,2653863.455,P,6,0.469766407
1,11,2020,,,N,7,
2,11,2020,10515012.05,7515809.305,N,1,0.285230557
3,11,2020,8459134.224,6228137.852,N,2,0.263738145
4,11,2020,7304742.795,5081788.162,N,3,0.304316619
5,11,2020,8110796.176,5753618.502,N,4,0.29062223
6,11,2020,9783010.893,6699227.826,N,5,0.315218198
7,11,2020,2824704.926,1212342.311,N,6,0.57080745
8,11,2020,,,N,7,
9,11,2020,9802246.54,7456075.01,N,1,0.23935039
10,11,2020,9761263.524,7188049.293,N,2,0.263614872
11,11,2020,7822618.529,5314080.452,N,3,0.320677541
12,11,2020,10975925.04,7918573.988,N,4,0.27855065
13,11,2020,9080155.576,6600577.14,N,5,0.273076647
14,11,2020,,,N,6,
15,11,2020,,,P,7,
16,11,2020,1782425.685,828061.7219,N,1,0.535429876
17,11,2020,10606501.07,8584103.307,N,2,0.190675299
18,11,2020,8225016.429,6435330.721,N,3,0.217590533
19,11,2020,8676043.06,6045900.271,N,4,0.303150038
20,11,2020,8740447.421,6789918.688,N,5,0.2231612
21,11,2020,2457898.636,1309208.159,N,6,0.467346562
22,11,2020,,,N,7,
23,11,2020,9360616.238,7396034.724,N,1,0.20987737
24,11,2020,9674595.567,7747143.06,N,2,0.199228225
25,11,2020,10238426.17,8058081.393,N,3,0.212957025
26,11,2020,8974688.212,6762962.836,N,4,0.246440358
27,11,2020,14782822.5,11086691.47,N,5,0.250028777
28,11,2020,,,N,6,
29,11,2020,,,N,7,
30,11,2020,2223181.452,161064.259,P,1,0.927552356
1,12,2020,13349734.82,10153464.58,N,2,0.239425748
2,12,2020,11594568.55,9011479.019,N,3,0.222784446
3,12,2020,9825373.75,7372209.052,N,4,0.249676476
4,12,2020,11227715.4,8816869.426,N,5,0.214722754
5,12,2020,3659896.483,2045204.578,N,6,0.44118513
6,12,2020,,,N,7,
7,12,2020,9225780.09,6552704.286,N,1,0.289739814
8,12,2020,7286825.671,5406088.707,N,2,0.258100996
9,12,2020,7728900.621,5812648.24,N,3,0.24793337
10,12,2020,9995914.712,7319347.362,N,4,0.267766125
11,12,2020,11684692.42,9089571.881,N,5,0.222095751
12,12,2020,2.88225,-208175.5457,N,6,72227.74843
13,12,2020,,,N,7,
14,12,2020,11767513.64,9147950.598,N,1,0.22260973
15,12,2020,11563937.35,9080105.905,P,2,0.214791153
16,12,2020,9035165.583,7104228.505,N,3,0.213713524
17,12,2020,10473810.94,8154672.414,N,4,0.221422607
18,12,2020,10160777.43,7954646.107,N,5,0.217122296
19,12,2020,3135889.793,1785945.778,N,6,0.43048197
20,12,2020,33013.5679,-47900.57245,N,7,2.450935948
21,12,2020,10026763.08,7763742.112,N,1,0.225698059
22,12,2020,9757506.893,7462110.971,N,2,0.2352441
23,12,2020,11171652.95,8928328.505,N,3,0.200805061
24,12,2020,17836044.89,14588777.87,N,4,0.182062057
25,12,2020,120667.3206,-94192.8259,N,5,1.780599299
26,12,2020,95998.92598,-95930.23905,N,6,1.999284503
27,12,2020,31227.86095,-39242.45771,N,7,2.25664892
28,12,2020,12600337.29,9313722.426,N,1,0.260835467
29,12,2020,10259892.3,7774287.7,N,2,0.2422642
30,12,2020,12833908.96,9882707.224,N,3,0.229953457
31,12,2020,17305065.51,13017548.28,P,4,0.24776082
1,1,2021,10142959.75,7791827.243,N,5,0.231799452
2,1,2021,3771233.688,2435649.807,N,6,0.35415039
3,1,2021,44840.55929,-61471.37226,N,7,2.370887724
4,1,2021,11525234.8,9417953.881,N,1,0.182840607
5,1,2021,9000163.648,6875159.843,N,2,0.236107241
6,1,2021,9431506.1,6932390.226,N,3,0.26497527
7,1,2021,8878346.207,6516891.69,N,4,0.265979098
8,1,2021,9273825.788,6922855.324,N,5,0.253505998
9,1,2021,134874.7521,-128790.0113,N,6,1.954885991
10,1,2021,41745.49076,-44683.325,N,7,2.070374888
11,1,2021,10054396.11,7393322.914,N,1,0.264667631
12,1,2021,8775026.479,6702315.036,N,2,0.236205719
13,1,2021,9249368.143,7205861.788,N,3,0.220934698
